No,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,Y
13999,323,290,33,0,0,0,0,0,0,0,0,0,0.594,1,0,0,43,0,0,1,0,0,0,16.135,2.243,2.34,0,0,0,0,0,0,10.75,6.978,1
14000,181,181,0,0,0,0,0,0,0,0,0,0,0.945,4,0,0,7,0,0,0,0,0,0,8.1,1.17,1.08,0,0,0,0,0,0,7,0,0
14001,171,171,0,0,0.146,0.146,0,0,25,25,0,0,0.561,6,25,0,55,0,0,2,20.7,0.302,1.382,10.219,1.022,1.631,-0.609,0.368,-0.074,-0.078,-0.295,0.403,27.5,2.5,0
14002,510,510,0,0,0,0,0,0,0,0,0,0,1,5,0,0,161,0,0,3,0,0,0,9.085,1.433,0.851,0,0,0,0,0,0,8.474,8.738,1
14003,581,373,208,0,0.01,0.016,0,0,6,6,0,0,0.993,5,49,43,182,0.236,22.878,4,13.129,0,4.772,9.119,1.224,1.584,-13.113,6.669,0,0,-3.622,2.067,91,75,1
14004,756,500,256,0,0,0,0,0,0,0,0,0,1,1,0,0,403,0,0,1,0,0,0,21.109,1.567,2.013,0,0,0,0,0,0,26.867,24.344,1
14005,322,174,148,0,0.028,0,0.061,0,9,0,9,0,0.888,5,9,0,386,0,0,3,6.122,1.256,0,21.929,1.226,1.964,3.658,0.575,0.725,0.507,0,0,77.2,90.003,1
14006,165,165,0,0,0,0,0,0,0,0,0,0,0.817,5,0,0,12,0,0,0,0,0,0,20.981,2.527,2.995,0,0,0,0,0,0,4,0.816,1
14007,147,102,45,0,0.81,0.725,1,0,119,74,45,0,0.959,5,128,9,9,1,1.235,1,15.569,2.074,1.943,8.762,2.878,2.435,-16.323,-2.084,2.25,1.024,2.057,-0.918,9,0,0
14008,178,178,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,13.177,1.962,2.175,0,0,0,0,0,0,0,0,1
14009,463,435,28,0,0.529,0.552,0.179,0,245,240,5,0,0.853,5,269,24,77,0.312,0.589,5,18.108,2.142,2.239,23.897,1.656,2.374,-0.326,-1.153,-0.823,-0.816,-1.423,1.051,19.25,12.93,0
14010,341,341,0,0,0.065,0.065,0,0,22,22,0,0,0.974,1,22,0,160,0,0,2,1.937,0.722,0.72,11.837,1.296,1.532,13.127,0.076,-2.639,0.353,0,0,20,20.833,0
14011,375,302,73,0,0,0,0,0,0,0,0,0,0.997,1,0,0,90,0,0,2,0,0,0,10.328,1.298,1.303,0,0,0,0,0,0,12.857,12.597,1
14012,1032,887,145,0,0.025,0.029,0,0,26,26,0,0,0.97,1,31,5,585,0.009,0.339,2,2.025,0.489,0.577,15.927,1.112,1.462,-3.841,5.189,0.095,0.277,-3.468,-1.156,23.4,16.186,1
14013,702,702,0,0,0.608,0.608,0,0,427,427,0,0,0.528,5,440,13,138,0.094,0.155,6,31.583,1.604,1.771,20.963,1.505,2.56,-3.111,-2.907,2.691,-0.087,-0.927,0.628,19.714,14.469,0
